energy_keV,g4_10_per_primary,g4_11_per_primary,ratio,approx_ratio_error
1.0,0.0002,0.00015000000000000001,0.75,0.25617376914899
3.0,0.00014000000000000001,0.00024000000000000003,1.7142857142857144,0.5765080364010422
5.0,0.00022,0.00022,1.0,0.30151134457776363
7.0,0.00033000000000000005,0.00031,0.9393939393939392,0.2349632410169987
9.0,0.00029,0.00036,1.2413793103448276,0.30974972669810813
11.0,0.00026000000000000003,0.00029,1.1153846153846152,0.30124532908101165
13.0,0.00030000000000000003,0.00027,0.8999999999999999,0.23874672772626643
15.0,0.00026000000000000003,0.00027,1.0384615384615383,0.28533811962742917
17.0,0.00030000000000000003,0.00033000000000000005,1.1,0.2774887385102322
19.0,0.00046,0.00029,0.6304347826086957,0.14948337102017686
21.0,0.00047000000000000004,0.00037000000000000005,0.7872340425531915,0.1730189683555099
23.0,0.0004,0.00030000000000000003,0.75,0.181142209327368
25.0,0.00029,0.00042,1.4482758620689655,0.34966875136337205
27.0,0.00023,0.00038,1.6521739130434783,0.43648061623303336
29.0,0.00044,0.00034,0.7727272727272727,0.17644434550973612
31.0,0.00051,0.00038,0.7450980392156863,0.15967301927221403
33.0,0.00042,0.00035000000000000005,0.8333333333333334,0.19072404509044313
35.0,0.00033000000000000005,0.00041000000000000005,1.2424242424242424,0.2905607035406738
37.0,0.00045000000000000004,0.00032,0.7111111111111111,0.16443777096902643
39.0,0.00031,0.00034,1.0967741935483872,0.2723664410893543
41.0,0.00031,0.00036,1.1612903225806452,0.28454182389442273
43.0,0.00039000000000000005,0.00028000000000000003,0.717948717948718,0.1778359283846602
45.0,0.00028000000000000003,0.00035000000000000005,1.25,0.31693284552319373
47.0,0.00043000000000000004,0.00039000000000000005,0.9069767441860466,0.2005564096649194
49.0,0.00027,0.00029,1.074074074074074,0.2872416192035416
51.0,0.00029,0.00033000000000000005,1.137931034482759,0.28963818533508084
53.0,0.00026000000000000003,0.00029,1.1153846153846152,0.30124532908101165
55.0,0.00033000000000000005,0.00029,0.8787878787878787,0.2236783414754848
57.0,0.00031,0.00037000000000000005,1.1935483870967742,0.29061148765330547
59.0,0.00026000000000000003,0.0004,1.5384615384615383,0.38756267204290684
61.0,0.00033000000000000005,0.00032,0.9696969696969696,0.24058068530854457
63.0,0.00036,0.00032,0.888888888888889,0.21596118129056666
65.0,0.00037000000000000005,0.00034,0.9189189189189189,0.21830618830082058
67.0,0.00046,0.00029,0.6304347826086957,0.14948337102017686
69.0,0.0004,0.00038,0.95,0.21520339216657344
71.0,0.00041000000000000005,0.00034,0.8292682926829268,0.19235093651665366
73.0,0.0004,0.0005200000000000001,1.3,0.27340446228984633
75.0,0.00037000000000000005,0.0005300000000000001,1.4324324324324325,0.3068715333779746
77.0,0.0005,0.00045000000000000004,0.9,0.18493242008906932
79.0,0.00055,0.00042,0.7636363636363637,0.15648275301445913
81.0,0.00045000000000000004,0.0005700000000000001,1.2666666666666668,0.252591506460139
83.0,0.0007000000000000001,0.0008700000000000001,1.2428571428571429,0.1995548982971912
85.0,0.0006600000000000001,0.00079,1.1969696969696968,0.19960970069770567
87.0,0.0008200000000000001,0.00064,0.7804878048780488,0.1301804103899101
89.0,0.0007000000000000001,0.0007000000000000001,1.0,0.1690308509457033
91.0,0.00067,0.00054,0.8059701492537313,0.14739317055918758
93.0,0.0008300000000000001,0.0006000000000000001,0.7228915662650602,0.1224972968888983
95.0,0.00064,0.00054,0.8437499999999999,0.15590782846464926
97.0,0.00055,0.0006500000000000001,1.1818181818181819,0.21652261677769016
99.0,0.0005600000000000001,0.00048000000000000007,0.8571428571428572,0.16859909838630924
101.0,0.0007300000000000001,0.0005200000000000001,0.7123287671232877,0.12926245148654172
103.0,0.0008,0.0006000000000000001,0.75,0.128086884574495
105.0,0.0008600000000000001,0.0008,0.9302325581395349,0.14449451467670088
107.0,0.00072,0.0007800000000000001,1.0833333333333335,0.17704928866641617
109.0,0.00075,0.0007300000000000001,0.9733333333333334,0.16002962688665334
111.0,0.00071,0.00067,0.9436619718309859,0.16072721571652057
113.0,0.0006500000000000001,0.0008500000000000001,1.3076923076923077,0.21546912965719675
115.0,0.00075,0.00084,1.12,0.17792882472119761
117.0,0.0010400000000000001,0.0008200000000000001,0.7884615384615384,0.11644300091653767
119.0,0.0008300000000000001,0.0008700000000000001,1.0481927710843373,0.16082995796420724
121.0,0.020610000000000003,0.02176,1.0557981562348373,0.03245201662889019
123.0,0.0005600000000000001,0.00058,1.0357142857142856,0.19403692429106936
125.0,0.00038,0.00048000000000000007,1.2631578947368423,0.274280194891669
127.0,0.0005700000000000001,0.00051,0.894736842105263,0.17245853092823688
129.0,0.00044,0.00054,1.2272727272727273,0.2492475528456583
131.0,0.00067,0.00058,0.8656716417910447,0.15525900522791555
133.0,0.00042,0.00042,1.0,0.2182178902359924
135.0,0.00046,0.00055,1.1956521739130435,0.23889402302458349
137.0,0.00072,0.0005300000000000001,0.7361111111111112,0.13322759760672845
139.0,0.00054,0.00054,1.0,0.1924500897298753
141.0,0.00059,0.00062,1.0508474576271185,0.19112192562529368
143.0,0.0005300000000000001,0.0005300000000000001,1.0,0.19425717247145285
